Epoch;Time;Train_Loss;Val_Loss
1;119.26;6.8744;6.5914
2;122.47;6.2433;6.3472
3;121.81;6.0175;6.1638
4;122.14;5.8492;6.0368
5;122.54;5.7001;5.8884
6;122.95;5.5647;5.7642
7;122.98;5.4430;5.6760
8;123.22;5.3366;5.5891
9;122.75;5.2388;5.5162
10;123.05;5.1548;5.4633
11;122.23;5.0781;5.4045
12;123.32;5.0095;5.3494
13;122.38;4.9470;5.3241
14;124.97;4.8895;5.2574
15;123.80;4.8354;5.2299
16;122.94;4.7866;5.2014
17;123.29;4.7418;5.1614
18;123.26;4.6982;5.1418
19;122.38;4.6583;5.1109
20;122.39;4.6195;5.0878
21;123.89;4.5854;5.0697
22;123.77;4.5511;5.0378
23;121.97;4.5181;5.0259
24;123.14;4.4879;5.0066
25;122.67;4.4585;4.9836
26;122.02;4.4296;4.9580
27;122.65;4.4023;4.9484
28;122.09;4.3753;4.9231
29;121.69;4.3514;4.9111
30;122.55;4.3264;4.9057
31;123.83;4.3043;4.8863
32;123.98;4.2814;4.8734
33;122.96;4.2594;4.8750
34;121.92;4.2377;4.8416
35;123.36;4.2192;4.8298
36;121.89;4.1990;4.8276
37;123.99;4.1793;4.8085
38;122.86;4.1597;4.8050
39;122.40;4.1400;4.7837
40;122.55;4.1231;4.7808
41;122.42;4.1056;4.7592
42;123.76;4.0889;4.7590
43;122.50;4.0698;4.7431
44;121.85;4.0535;4.7272
45;123.43;4.0352;4.7211
46;122.78;4.0178;4.7031
47;4.96;3.9903;4.7228
48;70.18;4.0037;4.6912
49;71.15;3.9858;4.6851
50;74.35;3.9707;4.6685
51;75.98;3.9546;4.6631
52;76.86;3.9392;4.6568
53;74.99;3.9242;4.6397
54;76.33;3.9093;4.6332
55;74.48;3.8958;4.6223
56;75.32;3.8808;4.6083
57;72.69;3.8670;4.5995
58;74.12;3.8541;4.5885
59;74.62;3.8403;4.5793
60;74.88;3.8267;4.5790
61;73.88;3.8144;4.5594
62;74.65;3.8007;4.5528
63;75.99;3.7880;4.5474
64;73.59;3.7773;4.5354
65;73.13;3.7660;4.5288
66;73.64;3.7540;4.5319
67;73.36;3.7423;4.5215
68;74.24;3.7311;4.5157
69;71.91;3.7190;4.4981
70;71.43;3.7086;4.4949
71;68.87;3.6975;4.4854
72;70.29;3.6882;4.4841
73;71.63;3.6785;4.4682
74;72.86;3.6680;4.4653
75;70.64;3.6592;4.4605
76;71.74;3.6476;4.4506
77;71.44;3.6403;4.4518
78;70.81;3.6299;4.4436
79;71.20;3.6211;4.4388
80;71.06;3.6122;4.4376
81;70.00;3.6032;4.4272
82;68.35;3.5952;4.4244
83;70.64;3.5866;4.4251
84;71.64;3.5778;4.4166
85;70.96;3.5692;4.4139
86;70.22;3.5632;4.4116
87;71.49;3.5540;4.4058
88;70.71;3.5478;4.3888
89;71.24;3.5397;4.3943
90;69.45;3.5314;4.3919
91;70.03;3.5254;4.3931
92;72.85;3.5178;4.3842
93;74.67;3.5111;4.3801
94;72.91;3.5031;4.3800
95;73.39;3.4979;4.3716
96;73.02;3.4909;4.3651
97;73.94;3.4843;4.3651
98;71.82;3.4762;4.3643
99;71.67;3.4703;4.3572
100;74.27;3.4641;4.3526
101;72.72;3.4593;4.3490
102;73.95;3.4512;4.3561
103;72.12;3.4457;4.3452
104;73.10;3.4408;4.3512
105;72.54;3.4356;4.3462
106;72.74;3.4279;4.3437
107;72.51;3.4240;4.3450
108;71.95;3.4173;4.3354
109;72.94;3.4109;4.3281
110;72.51;3.4067;4.3272
111;72.06;3.4011;4.3287
112;70.48;3.3966;4.3247
113;70.67;3.3906;4.3222
114;69.41;3.3865;4.3206
115;70.21;3.3812;4.3229
116;69.84;3.3758;4.3125
117;70.03;3.3709;4.3148
118;69.13;3.3658;4.3143
119;70.01;3.3609;4.3104
120;69.30;3.3558;4.3030
121;69.26;3.3496;4.3110
122;70.77;3.3467;4.3046
123;69.95;3.3415;4.2975
124;68.92;3.3373;4.3018
125;69.84;3.3318;4.2995
126;72.49;3.3298;4.2930
127;71.80;3.3244;4.2833
128;79.54;3.3198;4.2890
129;74.79;3.3152;4.2838
130;71.58;3.3109;4.2841
131;71.29;3.3078;4.2880
132;71.57;3.3027;4.2877
133;71.12;3.2986;4.2854
134;73.93;3.2948;4.2780
135;72.55;3.2908;4.2741
136;74.60;3.2867;4.2760
137;73.01;3.2828;4.2785
138;72.02;3.2794;4.2678
139;71.72;3.2753;4.2857
140;72.77;3.2727;4.2795
141;72.88;3.2674;4.2802
142;72.84;3.2634;4.2657
143;72.38;3.2601;4.2693
144;72.49;3.2566;4.2684
145;73.56;3.2533;4.2721
146;73.57;3.2490;4.2728
147;74.35;3.2454;4.2725
148;71.73;3.2426;4.2744
149;72.29;3.2389;4.2606
150;74.12;3.2350;4.2560
151;73.32;3.2318;4.2637
152;72.20;3.2276;4.2675
153;70.45;3.2249;4.2627
154;70.43;3.2210;4.2560
155;69.39;3.2176;4.2567
156;69.85;3.2138;4.2555
157;69.82;3.2115;4.2510
158;70.97;3.2090;4.2588
159;71.49;3.2070;4.2496
160;72.26;3.2023;4.2534
161;71.95;3.1991;4.2492
162;71.45;3.1960;4.2548
163;72.29;3.1923;4.2486